good,dirty,wait,lastyear,usa
0,0,0.73,2,1
0,0,5.33,4,1
0,0,5.49,2,1
1,0,0.73,4,1
0,0,0.81,2,1
0,0,1.48,19,1
0,0,2.36,1,1
1,1,5.49,2,1
1,0,0.73,1,1
0,2,0.98,7,1
1,0,1.48,1,1
1,0,5.49,2,1
1,0,1.48,2,1
1,0,0.98,23,1
1,0,0.98,2,1
1,0,1.14,8,1
0,0,1.23,11,1
1,0,5.49,5,1
1,0,5.49,18,1
1,0,5.49,11,1
0,0,5.49,11,1
1,0,5.49,8,1
1,0,5.49,3,1
1,0,5.33,10,1
1,0,5.49,14,1
1,0,5.49,3,1
0,0,5.49,4,1
1,0,5.33,1,1
1,0,1.06,1,1
0,0,5.21,3,1
1,0,5.33,4,1
1,0,5.21,2,1
1,0,5.33,10,1
1,0,0.98,1,1
1,0,4.84,5,1
0,0,5.49,17,1
1,0,5.33,5,1
1,1,1.48,4,1
1,0,0.98,6,1
1,0,5.49,16,1
1,0,5.49,9,1
1,0,5.49,3,1
0,0,5.49,5,1
0,0,5.49,22,1
0,0,5.49,5,1
1,0,4.84,7,1
0,0,5.41,7,1
1,0,5.49,1,1
1,0,0.73,7,1
1,0,4.68,4,1
0,0,5.03,10,1
1,0,4.68,5,1
1,0,5.21,5,1
1,0,5.41,8,1
1,0,0.81,4,1
1,0,1.06,2,1
0,0,1.79,1,1
0,0,5.58,6,1
1,0,5.58,1,1
1,0,2.81,5,1
0,0,2.43,1,1
0,0,0.73,5,1
0,0,5.58,2,1
0,0,5.58,1,1
1,0,1.48,1,1
0,2,5.66,4,1
1,0,5.58,1,1
1,1,5.26,5,1
0,0,5.58,2,1
0,5,5.58,10,1
0,0,4.84,1,1
0,2,5.58,7,1
0,0,5.58,4,1
0,0,5.58,2,1
1,0,1.06,1,0
1,0,1.06,1,0
1,0,0.81,3,0
1,0,1.99,1,0
1,0,1.58,19,0
1,0,2.43,2,0
0,0,5.49,3,0
1,0,1.06,1,0
0,0,1.06,1,0
0,0,1.99,1,0
0,0,5.58,1,0
1,0,1.99,1,0
1,0,1.06,35,0
1,0,1.06,35,0
0,0,5.74,7,0
1,0,1.58,1,0
1,0,1.06,4,0
1,0,1.06,7,0
1,0,3.13,5,0
0,0,1.06,1,0
1,0,5.41,1,0
0,0,1.06,3,0
1,0,5.74,1,0
1,0,1.31,2,1
0,0,1.48,2,1
